2019021900,3,-0.01,-2.33,2.92,6,-0.87,-1.15,1.64,9,0.03,-0.67,2.45,12,2.61,-1.60,3.56,15,0.89,-1.43,1.00,18,2.39,-0.56,3.95,21,3.14,-0.49,5.47,24,2.35,-1.30,4.56,27,-0.10,0.07,2.43,30,-1.26,1.77,2.90,33,-1.44,2.86,3.18,36,-1.30,3.26,1.75,39,-1.61,3.32,5.02,42,-0.34,4.36,3.06,45,0.68,3.44,2.74,48,0.34,2.54,3.44
2000010200,3,-1.47,1.90,2.63,6,-2.29,1.26,2.35,9,-0.15,1.34,4.83,12,2.82,-2.30,5.43,15,3.23,-1.64,1.90,18,3.66,-2.55,7.31,21,3.65,-2.67,3.51,24,1.42,-1.46,3.52,27,-0.43,1.44,1.42,30,0.31,3.25,2.92,33,3.36,-1.51,3.14,36,4.30,-0.90,4.24,39,2.33,-0.67,4.03,42,2.45,-0.15,3.41,45,2.93,-0.55,3.32,48,1.35,-0.40,4.93
2000010300,3,0.97,-0.97,2.81,6,1.12,0.13,4.62,9,2.97,1.64,4.73,12,3.96,-2.51,3.62,15,2.71,-1.45,1.13,18,2.75,-0.55,3.21,21,2.76,-1.09,3.31,24,1.13,-1.05,4.83,27,-0.93,0.09,2.93,30,-1.05,1.87,6.13,33,-1.49,2.37,4.21,36,-2.03,1.66,5.04,39,-1.75,2.06,3.51,42,-1.00,2.94,1.82,45,-0.15,3.58,2.44,48,-0.01,1.93,2.10
2000010400,3,0.36,0.17,0.73,6,-0.09,1.68,3.52,9,-1.18,2.48,4.30,12,-1.74,2.41,5.83,15,-2.03,2.53,3.22,18,-1.40,3.32,7.42,21,-0.30,4.31,3.94,24,0.59,2.84,4.74,27,1.19,2.13,4.72,30,2.06,1.44,1.62,33,3.81,-2.70,2.15,36,2.24,-1.13,2.80,39,2.30,-0.99,3.12,42,2.96,-1.05,2.46,45,3.32,-1.65,1.01,48,3.12,-1.40,2.02
2000010500,3,2.04,2.41,4.51,6,3.07,0.35,7.10,9,4.02,-2.65,3.93,12,2.37,-1.93,4.52,15,1.70,-1.46,1.12,18,2.63,-1.13,1.63,21,3.04,-1.67,1.40,24,1.44,-1.20,1.61,27,-0.19,-0.93,2.62,30,-1.46,0.09,2.40,33,-1.46,0.49,2.20,36,-1.13,0.74,0.43,39,-0.96,0.81,2.03,42,-0.28,1.67,2.41,45,0.31,1.80,2.50,48,-0.14,1.20,2.42
2000010600,3,-0.63,-1.75,2.11,6,-1.72,-0.40,1.74,9,-1.68,-0.16,2.30,12,-1.90,-0.22,0.81,15,-2.02,0.96,2.70,18,-0.18,1.64,2.40,21,0.46,1.17,1.92,24,0.29,1.32,1.41,27,-2.14,1.48,1.00,30,-1.90,1.71,1.70,33,-1.82,1.48,2.12,36,-1.64,1.48,2.64,39,-1.01,1.33,2.73,42,-0.51,1.72,3.72,45,1.74,-0.17,4.23,48,0.58,-0.92,5.82
2000010700,3,-2.35,1.35,2.62,6,-2.30,1.58,2.80,9,-2.07,1.87,1.00,12,-1.78,1.73,1.90,15,-0.41,0.76,0.41,18,0.16,-0.29,2.10,21,1.48,-0.68,2.92,24,1.15,-0.29,3.72,27,-0.07,-0.26,6.01,30,-0.51,0.66,3.32,33,-1.53,1.19,3.06,36,-1.93,1.56,4.62,39,-2.03,2.10,6.12,42,-0.28,3.59,8.22,45,0.94,2.73,5.41,48,1.53,2.96,2.43
2000010800,3,-0.31,-0.68,0.90,6,-0.50,0.98,2.11,9,-1.17,1.52,3.12,12,-1.32,1.51,4.80,15,-1.88,2.40,5.63,18,-0.29,3.98,3.41,21,0.78,3.38,2.82,24,1.99,1.59,4.43,27,2.27,2.94,5.04,30,2.33,0.37,5.63,33,2.09,-0.36,4.63,36,0.40,0.67,3.05,39,-1.36,2.28,6.04,42,-0.35,3.20,5.70,45,0.73,3.33,6.23,48,1.03,3.97,6.51
2000010900,3,3.12,0.20,5.53,6,2.95,-0.68,4.22,9,2.40,-1.04,2.94,12,-0.01,-0.64,4.53,15,-1.16,2.49,6.32,18,-0.10,3.36,5.13,21,0.61,3.25,4.94,24,1.71,3.27,6.13,27,-0.14,4.34,6.34,30,0.91,3.62,7.03,33,1.99,3.14,7.14,36,3.47,0.79,7.16,39,3.17,-1.10,5.91,42,1.97,1.69,5.60,45,-0.03,4.17,4.15,48,0.66,3.35,5.34
2000011000,3,-0.52,4.21,5.92,6,0.31,2.82,7.10,9,1.13,3.38,4.21,12,2.23,1.32,6.91,15,2.30,1.49,7.12,18,1.85,2.33,6.23,21,0.63,5.03,7.00,24,0.92,3.99,7.36,27,0.38,4.15,7.52,30,-0.69,4.65,5.90,33,-0.34,4.36,3.01,36,-1.30,4.43,4.74,39,-1.50,4.69,2.36,42,-0.46,5.29,3.32,45,-0.52,4.78,3.00,48,-1.00,4.44,5.84
2000011100,3,0.13,2.73,4.52,6,-0.69,4.17,6.11,9,-1.50,4.26,6.32,12,-1.53,3.74,7.11,15,-1.10,4.46,7.32,18,-1.91,4.19,7.76,21,-0.76,4.44,1.43,24,-1.92,4.75,4.13,27,1.86,3.30,2.72,30,1.67,4.44,3.00,33,1.95,3.28,2.90,36,2.87,0.16,4.30,39,0.77,-0.42,3.63,42,-0.27,1.06,3.75,45,0.55,1.92,3.53,48,-0.78,1.49,3.90
2000011200,3,2.70,1.24,4.84,6,0.95,3.99,4.91,9,0.54,3.30,2.63,12,0.62,3.10,4.50,15,-0.80,2.25,2.31,18,0.37,2.88,2.50,21,-0.30,2.60,2.80,24,-0.68,2.44,4.94,27,-1.67,1.61,3.73,30,-2.26,1.33,3.60,33,-2.35,0.83,3.43,36,-2.71,0.98,3.10,39,-2.46,1.40,3.31,42,-1.36,2.65,3.20,45,-1.35,2.90,3.27,48,-2.58,2.14,4.21
2000011300,3,-2.28,0.97,2.61,6,-2.11,1.72,2.64,9,-1.99,1.53,2.73,12,-2.02,1.38,6.21,15,-2.11,1.63,3.71,18,-1.38,3.06,3.51,21,-1.03,3.59,3.32,24,-2.21,2.44,3.50,27,-3.31,2.39,3.01,30,-2.89,2.54,3.21,33,-3.01,2.34,3.20,36,-2.95,1.97,3.52,39,-2.76,2.02,3.54,42,-2.17,2.29,6.43,45,-1.16,2.36,8.26,48,-2.00,1.78,10.54
